ts;station_id;sensor0;sensor1;sensor2;sensor3
2021-02-01 00:00:00; ST0001;- 6.8839; -6.8842; -6.9307; -6.8717
2021-02-01 00:00:00;ST0002;-2.8975;-2.8709;-2.8814;-1.3805
2021-02-01 00:01:00;ST0002;-2.8779;-2.9004;-2.867;-1.3746
2021-02-01 00:01:00;ST0001;-6.8957;-6.885;-6.9223;-6.8877
2021-02-01 00:02:00;ST0001;-6.8757;-6.8837;-6.8308;-6.9078
2021-02-01 00:02:00;ST0002;-2.8952;-2.8907;-2.8964;-1.3837
2021-02-01 00:03:00;ST0001;-6.9193;-6.9225;-6.9353;-6.9231
2021-02-01 00:03:00;ST0002;-2.9237;-2.9187;-2.9027;-1.4162
2021-02-01 00:04:00;ST0001;NA;-6.8973;-6.9506;-6.932
2021-02-01 00:04:00;ST0002;NA;-2.9174;-2.9033;-1.4309
2021-02-01 00:05:00;ST0002;-2.8907;-2.8917;-2.8883;-1.3804
2021-02-01 00:05:00;ST0001;-6.8783;-6.8947;-6.9742;-6.899
2021-02-01 00:06:00;ST0002;-2.8818;-2.8664;-2.8572;-1.3567
2021-02-01 00:06:00;ST0001;NA;NA;NA;NA
2021-02-01 00:07:00;ST0002;NA;NA;NA;NA
2021-02-01 00:07:00;ST0001;-6.8525;-6.8388;-6.7577;-6.8469
2021-02-01 00:08:00;ST0002;-2.783;-2.7607;-2.7715;-1.2719
2021-02-01 00:08:00;ST0001;-6.7661;-6.7707;-6.6838;-6.7739
2021-02-01 00:09:00;ST0002;-2.8052;-2.8098;-2.7916;-1.3052
2021-02-01 00:09:00;ST0001;-6.8113;-6.8003;-6.9068;0.0
2021-02-01 00:10:00;ST0002;-2.8358;-2.8351;-2.8168;-1.3294
2021-02-01 00:10:00;ST0001;-6.8255;-6.8452;-6.8454;-6.8515
1970-01-01 00:00:00;ST0002;-2.8359;-2.8033;-2.8082;-1.3113
2021-02-01 00:11:00;ST0001;-6.8134;-6.7954;-6.8787;-6.8064
2021-02-01 00:12:00;ST0001;0.0;0.0;0.0;0.0
2021-02-01 00:12:00;ST0002;-2.7646;-2.7529;-2.7525;-1.2609
2021-02-01 00:13:00;ST0001;-6.7067;-6.7122;-6.758;-6.7285
